"telepules","tipus","kisterseg","megye","regio","egyhazi_iskola"
"Kőszegpaty","nem_hatranyos _besorolasu","Kőszegi","Vas","Nyugat-Dunántúl",0
"Kőszegszerdahely","nem_hatranyos _besorolasu","Kőszegi","Vas","Nyugat-Dunántúl",0
"Kőszárhegy","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",0
"Kőtelek","nem_hatranyos _besorolasu","Szolnoki","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Kővágószőlős","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Kővágótőttős","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Kővágóörs","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Lad","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"Ladánybene","nem_hatranyos _besorolasu","Kecskeméti","Bács-Kiskun","Dél-Alföld",0
"Lajoskomárom","HH","Enyingi","Fejér","Közép-Dunántúl",0
"Lajosmizse","nem_hatranyos _besorolasu","Kecskeméti","Bács-Kiskun","Dél-Alföld",0
"Lak","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Lakhegy","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Lakitelek","nem_hatranyos _besorolasu","Kecskeméti","Bács-Kiskun","Dél-Alföld",0
"Lakócsa","LHHK","Barcsi","Somogy","Dél-Dunántúl",0
"Lapáncsa","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Laskod","LHHK","Baktalórántházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Lasztonya","HH","Letenyei","Zala","Nyugat-Dunántúl",0
"Legyesbénye","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Legénd","nem_hatranyos _besorolasu","Rétsági","Nógrád","Észak-Magyarország",0
"Lendvadedes","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Lendvajakabfa","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Lengyel","nem_hatranyos _besorolasu","Bonyhádi","Tolna","Dél-Dunántúl",0
"Lengyeltóti","LHHK","Lengyeltóti","Somogy","Dél-Dunántúl",0
"Lenti","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Lepsény","HH","Enyingi","Fejér","Közép-Dunántúl",0
"Lesencefalu","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Lesenceistvánd","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Lesencetomaj","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Letenye","HH","Letenyei","Zala","Nyugat-Dunántúl",0
"Letkés","HH","Szobi","Pest","Közép-magyarország",0
"Levelek","LHHK","Baktalórántházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Levél","nem_hatranyos _besorolasu","Mosonmagyaróvári","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Leányfalu","nem_hatranyos _besorolasu","Szentendrei","Pest","Közép-magyarország",0
"Leányvár","nem_hatranyos _besorolasu","Dorogi","Komárom-Esztergom","Közép-Dunántúl",0
"Libickozma","HH","Marcali","Somogy","Dél-Dunántúl",0
"Lickóvadamos","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Liget","HH","Komlói","Baranya","Dél-Dunántúl",0
"Ligetfalva","HH","Zalaszentgróti","Zala","Nyugat-Dunántúl",0
"Lippó","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Liptód","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Lipót","nem_hatranyos _besorolasu","Mosonmagyaróvári","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Lispeszentadorján","HH","Letenyei","Zala","Nyugat-Dunántúl",0
"Liszó","nem_hatranyos _besorolasu","Nagykanizsai","Zala","Nyugat-Dunántúl",0
"Litka","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Litke","LHH","Salgótarjáni","Nógrád","Észak-Magyarország",0
"Litér","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",1
"Lothárd","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Lovas","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",0
"Lovasberény","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",1
"Lovászhetény","HH","Pécsváradi","Baranya","Dél-Dunántúl",0
"Lovászi","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Lovászpatona","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Lucfalva","LHHK","Bátonyterenyei","Nógrád","Észak-Magyarország",0
"Ludas","nem_hatranyos _besorolasu","Gyöngyösi","Heves","Észak-Magyarország",0
"Ludányhalászi","LHH","Szécsényi","Nógrád","Észak-Magyarország",0
"Lukácsháza","nem_hatranyos _besorolasu","Kőszegi","Vas","Nyugat-Dunántúl",0
"Lulla","LHH","Tabi","Somogy","Dél-Dunántúl",0
"Lábatlan","nem_hatranyos _besorolasu","Esztergomi","Komárom-Esztergom","Közép-Dunántúl",0
"Lábod","HH","Nagyatádi","Somogy","Dél-Dunántúl",0
"Lácacséke","LHHK","Bodrogközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Ládbesenyő","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Lánycsók","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Lápafő","HH","Dombóvári","Tolna","Dél-Dunántúl",0
"Látrány","nem_hatranyos _besorolasu","Fonyódi","Somogy","Dél-Dunántúl",0
"Lázi","nem_hatranyos _besorolasu","Pannonhalmai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Lébény","nem_hatranyos _besorolasu","Mosonmagyaróvári","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Léh","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Lénárddaróc","LHHK","Ózdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Létavértes","LHH","Derecske-Létavérte","Hajdú-Bihar","Észak-Alföld",0
"Lócs","nem_hatranyos _besorolasu","Csepregi","Vas","Nyugat-Dunántúl",0
"Lókút","nem_hatranyos _besorolasu","Zirci","Veszprém","Közép-Dunántúl",0
"Lónya","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Lórév","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Lövő","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Lövőpetri","HH","Kisvárdai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Lúzsok","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Lőkösháza","nem_hatranyos _besorolasu","Gyulai","Békés","Dél-Alföld",0
"Lőrinci","nem_hatranyos _besorolasu","Hatvani","Heves","Észak-Magyarország",0
"Madaras","LHHK","Bácsalmási","Bács-Kiskun","Dél-Alföld",0
"Madocsa","nem_hatranyos _besorolasu","Paksi","Tolna","Dél-Dunántúl",0
"Maglóca","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Maglód","nem_hatranyos _besorolasu","Monori","Pest","Közép-magyarország",0
"Magosliget","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Magy","LHHK","Baktalórántházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Magyaralmás","nem_hatranyos _besorolasu","Móri","Fejér","Közép-Dunántúl",0
"Magyaratád","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Magyarbánhegyes","LHHK","Mezőkovácsházai","Békés","Dél-Alföld",0
"Magyarbóly","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Magyarcsanád","HH","Makói","Csongrád","Dél-Alföld",0
"Magyardombegyház","LHHK","Mezőkovácsházai","Békés","Dél-Alföld",0
"Magyaregregy","HH","Komlói","Baranya","Dél-Dunántúl",0
"Magyaregres","nem_hatranyos _besorolasu","Kaposvári","Somogy","Dél-Dunántúl",0
"Magyarföld","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Magyargencs","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Magyargéc","LHH","Szécsényi","Nógrád","Észak-Magyarország",0
"Magyarhertelend","HH","Komlói","Baranya","Dél-Dunántúl",0
"Magyarhomorog","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"Magyarkeresztúr","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Magyarkeszi","LHHK","Tamási","Tolna","Dél-Dunántúl",0
"Magyarlak","nem_hatranyos _besorolasu","Szentgotthárdi","Vas","Nyugat-Dunántúl",0
"Magyarlukafa","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Magyarmecske","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Magyarnádalja","nem_hatranyos _besorolasu","Körmendi","Vas","Nyugat-Dunántúl",0
"Magyarnándor","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"Magyarpolány","nem_hatranyos _besorolasu","Ajkai","Veszprém","Közép-Dunántúl",0
"Magyarsarlós","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Magyarszecsőd","nem_hatranyos _besorolasu","Körmendi","Vas","Nyugat-Dunántúl",0
"Magyarszentmiklós","nem_hatranyos _besorolasu","Nagykanizsai","Zala","Nyugat-Dunántúl",0
"Magyarszerdahely","nem_hatranyos _besorolasu","Nagykanizsai","Zala","Nyugat-Dunántúl",0
"Magyarszombatfa","HH","Őriszentpéteri","Vas","Nyugat-Dunántúl",0
"Magyarszék","HH","Komlói","Baranya","Dél-Dunántúl",0
"Magyartelek","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Majosháza","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",1
"Majs","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Makkoshotyka","LHHK","Sárospataki","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Maklár","nem_hatranyos _besorolasu","Egri","Heves","Észak-Magyarország",0
"Makád","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Makó","HH","Makói","Csongrád","Dél-Alföld",1
"Malomsok","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",1
"Marcalgergelyi","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Marcali","HH","Marcali","Somogy","Dél-Dunántúl",0
"Marcaltő","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Markaz","nem_hatranyos _besorolasu","Gyöngyösi","Heves","Észak-Magyarország",0
"Markotabödöge","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Markóc","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Maroslele","HH","Makói","Csongrád","Dél-Alföld",0
"Martfű","nem_hatranyos _besorolasu","Szolnoki","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Martonfa","HH","Pécsváradi","Baranya","Dél-Dunántúl",0
"Martonvásár","nem_hatranyos _besorolasu","Ercsi","Fejér","Közép-Dunántúl",0
"Martonyi","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Maráza","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Maróc","HH","Letenyei","Zala","Nyugat-Dunántúl",0
"Marócsa","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Matty","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Mecseknádasd","HH","Pécsváradi","Baranya","Dél-Dunántúl",0
"Mecsekpölöske","HH","Komlói","Baranya","Dél-Dunántúl",0
"Mecsér","nem_hatranyos _besorolasu","Mosonmagyaróvári","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Medgyesbodzás","LHHK","Mezőkovácsházai","Békés","Dél-Alföld",0
"Medgyesegyháza","LHHK","Mezőkovácsházai","Békés","Dél-Alföld",0
"Medina","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Meggyeskovácsi","nem_hatranyos _besorolasu","Sárvári","Vas","Nyugat-Dunántúl",0
"Megyaszó","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Megyehíd","nem_hatranyos _besorolasu","Sárvári","Vas","Nyugat-Dunántúl",0
"Megyer","HH","Sümegi","Veszprém","Közép-Dunántúl",0
"Mekényes","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Mencshely","nem_hatranyos _besorolasu","Veszprémi","Veszprém","Közép-Dunántúl",0
"Mende","nem_hatranyos _besorolasu","Nagykátai","Pest","Közép-magyarország",0
"Merenye","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Mernye","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Mersevát","nem_hatranyos _besorolasu","Celldömölki","Vas","Nyugat-Dunántúl",0
"Mesterháza","nem_hatranyos _besorolasu","Csepregi","Vas","Nyugat-Dunántúl",0
"Mesteri","nem_hatranyos _besorolasu","Celldömölki","Vas","Nyugat-Dunántúl",0
"Mesterszállás","HH","Mezőtúri","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Meszes","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Meszlen","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",0
"Mesztegnyő","HH","Marcali","Somogy","Dél-Dunántúl",0
"Mezőberény","LHH","Békési","Békés","Dél-Alföld",1
"Mezőcsokonya","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Mezőcsát","LHHK","Mezőcsáti","Borsod-Abaúj-Zemplén","Észak-Magyarország",1
"Meződ","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Mezőfalva","nem_hatranyos _besorolasu","Dunaújvárosi","Fejér","Közép-Dunántúl",0
"Mezőgyán","LHHK","Sarkadi","Békés","Dél-Alföld",0
"Mezőhegyes","LHHK","Mezőkovácsházai","Békés","Dél-Alföld",0
"Mezőhék","nem_hatranyos _besorolasu","Mezőtúri","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Mezőkeresztes","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Mezőkomárom","HH","Enyingi","Fejér","Közép-Dunántúl",0
"Mezőkovácsháza","LHHK","Mezőkovácsházai","Békés","Dél-Alföld",0
"Mezőkövesd","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Mezőladány","HH","Kisvárdai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Mezőlak","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Mezőnagymihály","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Mezőnyárád","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Mezőpeterd","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"Mezősas","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"Mezőszemere","HH","Füzesabonyi","Heves","Észak-Magyarország",0
"Mezőszentgyörgy","HH","Enyingi","Fejér","Közép-Dunántúl",0
"Mezőszilas","HH","Sárbogárdi","Fejér","Közép-Dunántúl",0
"Mezőtárkány","HH","Füzesabonyi","Heves","Észak-Magyarország",0
"Mezőtúr","HH","Mezőtúri","Jász-Nagykun-Szolnok","Észak-Alföld",1
"Mezőzombor","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Mezőörs","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Miháld","HH","Zalakarosi","Zala","Nyugat-Dunántúl",0
"Mihályfa","HH","Zalaszentgróti","Zala","Nyugat-Dunántúl",0
"Mihálygerge","LHH","Salgótarjáni","Nógrád","Észak-Magyarország",0
"Mihályháza","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Mihályi","nem_hatranyos _besorolasu","Kapuvár-Beledi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Mike","LHHK","Kadarkúti","Somogy","Dél-Dunántúl",0
"Mikebuda","nem_hatranyos _besorolasu","Ceglédi","Pest","Közép-magyarország",0
"Mikekarácsonyfa","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Mikepércs","nem_hatranyos _besorolasu","Debreceni","Hajdú-Bihar","Észak-Alföld",0
"Miklósi","LHH","Tabi","Somogy","Dél-Dunántúl",0
"Mikosszéplak","HH","Vasvári","Vas","Nyugat-Dunántúl",0
"Mikófalva","HH","Bélapátfalvai","Heves","Észak-Magyarország",0
"Mikóháza","HH","Sátoraljaújhelyi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Milejszeg","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Milota","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Mindszent","HH","Hódmezővásárhelyi","Csongrád","Dél-Alföld",0
"Mindszentgodisa","nem_hatranyos _besorolasu","Sásdi","Baranya","Dél-Dunántúl",0
"Mindszentkálla","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Misefa","HH","Pacsai","Zala","Nyugat-Dunántúl",0
"Miske","HH","Kalocsai","Bács-Kiskun","Dél-Alföld",0
"Miskolc","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",1
"Miszla","LHHK","Tamási","Tolna","Dél-Dunántúl",0
"Mocsa","nem_hatranyos _besorolasu","Komáromi","Komárom-Esztergom","Közép-Dunántúl",0
"Mogyoród","nem_hatranyos _besorolasu","Dunakeszi","Pest","Közép-magyarország",0
"Mogyorósbánya","nem_hatranyos _besorolasu","Esztergomi","Komárom-Esztergom","Közép-Dunántúl",0
"Mogyoróska","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Moha","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",0
"Mohora","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"Mohács","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Molnaszecsőd","nem_hatranyos _besorolasu","Körmendi","Vas","Nyugat-Dunántúl",0
"Molnári","HH","Letenyei","Zala","Nyugat-Dunántúl",0
"Molvány","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Monaj","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Monok","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Monor","nem_hatranyos _besorolasu","Monori","Pest","Közép-magyarország",0
"Monorierdő","nem_hatranyos _besorolasu","Monori","Pest","Közép-magyarország",0
"Monostorapáti","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Monostorpályi","LHH","Derecske-Létavérte","Hajdú-Bihar","Észak-Alföld",0
"Monoszló","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",0
"Monyoród","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Mosdós","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Mosonmagyaróvár","nem_hatranyos _besorolasu","Mosonmagyaróvári","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Mosonszentmiklós","nem_hatranyos _besorolasu","Mosonmagyaróvári","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Mosonszolnok","nem_hatranyos _besorolasu","Mosonmagyaróvári","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Mosonudvar","nem_hatranyos _besorolasu","Mosonmagyaróvári","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Mozsgó","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Mucsfa","nem_hatranyos _besorolasu","Bonyhádi","Tolna","Dél-Dunántúl",0
"Mucsi","LHHK","Tamási","Tolna","Dél-Dunántúl",0
"Muhi","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Murakeresztúr","nem_hatranyos _besorolasu","Nagykanizsai","Zala","Nyugat-Dunántúl",0
"Murarátka","HH","Letenyei","Zala","Nyugat-Dunántúl",0
"Muraszemenye","HH","Letenyei","Zala","Nyugat-Dunántúl",0
"Murga","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Murony","LHH","Békési","Békés","Dél-Alföld",0
"Mád","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Mágocs","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Mályi","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Mályinka","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Mánd","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Mándok","HH","Záhonyi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Mánfa","HH","Komlói","Baranya","Dél-Dunántúl",0
"Mány","nem_hatranyos _besorolasu","Bicskei","Fejér","Közép-Dunántúl",0
"Márfa","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Máriahalom","nem_hatranyos _besorolasu","Dorogi","Komárom-Esztergom","Közép-Dunántúl",0
"Máriakálnok","nem_hatranyos _besorolasu","Mosonmagyaróvári","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Máriakéménd","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Márianosztra","HH","Szobi","Pest","Közép-magyarország",0
"Máriapócs","LHHK","Nyírbátori","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Márkháza","LHHK","Bátonyterenyei","Nógrád","Észak-Magyarország",0
"Márkó","nem_hatranyos _besorolasu","Veszprémi","Veszprém","Közép-Dunántúl",0
"Márok","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Márokföld","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Márokpapi","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Mártély","HH","Hódmezővásárhelyi","Csongrád","Dél-Alföld",0
"Mátraballa","LHH","Pétervásárai","Heves","Észak-Magyarország",0
"Mátraderecske","LHH","Pétervásárai","Heves","Észak-Magyarország",0
"Mátramindszent","LHHK","Bátonyterenyei","Nógrád","Észak-Magyarország",0
"Mátranovák","LHHK","Bátonyterenyei","Nógrád","Észak-Magyarország",0
"Mátraszele","LHH","Salgótarjáni","Nógrád","Észak-Magyarország",0
"Mátraszentimre","nem_hatranyos _besorolasu","Gyöngyösi","Heves","Észak-Magyarország",0
"Mátraszőlős","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Mátraterenye","LHHK","Bátonyterenyei","Nógrád","Észak-Magyarország",0
"Mátraverebély","LHHK","Bátonyterenyei","Nógrád","Észak-Magyarország",0
"Mátyus","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Mátyásdomb","HH","Enyingi","Fejér","Közép-Dunántúl",0
"Mátészalka","LHHK","Mátészalkai","Szabolcs-Szatmár-Bereg","Észak-Alföld",1
"Mátételke","LHHK","Bácsalmási","Bács-Kiskun","Dél-Alföld",0
"Máza","HH","Komlói","Baranya","Dél-Dunántúl",0
"Méhkerék","LHHK","Sarkadi","Békés","Dél-Alföld",0
"Méhtelek","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Mélykút","LHHK","Jánoshalmai","Bács-Kiskun","Dél-Alföld",0
"Méra","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Mérges","nem_hatranyos _besorolasu","Téti","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Mérk","LHHK","Mátészalkai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Mónosbél","HH","Bélapátfalvai","Heves","Észak-Magyarország",0
"Mór","nem_hatranyos _besorolasu","Móri","Fejér","Közép-Dunántúl",0
"Mórahalom","LHH","Mórahalomi","Csongrád","Dél-Alföld",0
"Móricgát","HH","Kiskunmajsai","Bács-Kiskun","Dél-Alföld",0
"Mórichida","nem_hatranyos _besorolasu","Téti","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Mórágy","nem_hatranyos _besorolasu","Bonyhádi","Tolna","Dél-Dunántúl",0
"Múcsony","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Mőcsény","nem_hatranyos _besorolasu","Bonyhádi","Tolna","Dél-Dunántúl",0
"Nadap","nem_hatranyos _besorolasu","Gárdonyi","Fejér","Közép-Dunántúl",0
"Nagyacsád","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Nagyalásony","nem_hatranyos _besorolasu","Devecseri","Veszprém","Közép-Dunántúl",0
"Nagyar","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Nagyatád","HH","Nagyatádi","Somogy","Dél-Dunántúl",0
"Nagybajcs","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Nagybajom","LHHK","Kadarkúti","Somogy","Dél-Dunántúl",1
"Nagybakónak","nem_hatranyos _besorolasu","Nagykanizsai","Zala","Nyugat-Dunántúl",0
"Nagybaracska","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"Nagybarca","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Nagyberki","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Nagyberény","nem_hatranyos _besorolasu","Siófoki","Somogy","Dél-Dunántúl",0
"Nagybudmér","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Nagybánhegyes","LHHK","Mezőkovácsházai","Békés","Dél-Alföld",0
"Nagybárkány","LHHK","Bátonyterenyei","Nógrád","Észak-Magyarország",0
"Nagybörzsöny","HH","Szobi","Pest","Közép-magyarország",0
"Nagycenk","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Nagycsepely","nem_hatranyos _besorolasu","Balatonföldvári","Somogy","Dél-Dunántúl",0
"Nagycserkesz","nem_hatranyos _besorolasu","Nyíregyházai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Nagycsány","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Nagycsécs","nem_hatranyos _besorolasu","Tiszaújvárosi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Nagydobos","LHHK","Mátészalkai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Nagydobsza","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Nagydorog","nem_hatranyos _besorolasu","Paksi","Tolna","Dél-Dunántúl",0
"Nagydém","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Nagyecsed","LHHK","Mátészalkai","Szabolcs-Szatmár-Bereg","Észak-Alföld",1
"Nagyesztergár","nem_hatranyos _besorolasu","Zirci","Veszprém","Közép-Dunántúl",0
